text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain,neutralized_text,index
homework is killing me lately,0,0,0,0,1,0,0,0,0,Homework has been overwhelming me lately.,97
homework is really stressing me out!,0,1,1,0,1,0,0,0,0,Homework is really stressing me out!,98
"homework, what are they doing at school if they are doing so much here.",0,0,0,0,1,1,0,1,0,"Homework, what are they doing at school if they are doing so much here.",99
"honestly i have been really stressed about my finances, i need another job..",1,0,0,1,0,0,0,1,0,"Honestly, I have been really stressed about my finances; I need another job.",100
"honestly, my job has been super stressful",0,0,0,0,0,0,0,1,0,"Honestly, my job has been very stressful.",101
how to improve my savings and pay off bills.,1,0,0,0,0,0,0,0,0,How to improve savings and pay off bills.,102
"I am a stay-at-home mom with a toddler, this coronavirus thing has me scared for her.",1,1,0,1,1,1,0,0,1,"I am a stay-at-home parent with a young child, this coronavirus situation has me concerned for them.",103
i am concerned about my success in this life. it's needed for us all.,1,1,1,0,0,0,0,1,0,I am concerned about success in life. It is important for everyone.,104
i am feeling stuck in my career.,0,0,0,1,0,0,1,1,0,I am feeling stuck in my career.,105
i am going through a custody battle for my daughter.,0,0,0,1,0,1,0,0,0,I am going through a custody battle for my child.,106
i am having 2 birthday parties this weekend and have lots to get done.,0,0,1,0,0,1,1,0,0,I am having two birthday parties this weekend and have lots to get done.,107
i am having a baby soon. i need to clean out that room.,0,1,1,0,0,1,0,0,0,I am expecting a baby soon. I need to clean out that room.,108
I am having a hard time getting to work,0,0,1,0,0,0,0,1,0,I am having a hard time getting to work.,109
i am having trouble baking this cake,0,1,1,0,0,0,0,1,0,I am having trouble baking this cake.,110
I am having trouble making money with the new virus,1,0,0,0,0,0,0,1,1,I am having trouble making money due to the new virus.,111
"I am in the last stretch of my professional school career, and things a rough!",0,0,0,0,1,0,1,1,0,"I am in the final phase of my professional school journey, and things are rough!",112
i am lonely and don't know how to solve the problem of getting over my depression.,1,0,0,1,0,1,1,0,1,I am feeling lonely and don't know how to overcome my depression.,113
i am not able to get my laptop to start.,1,1,1,0,1,0,0,1,0,I am not able to get my laptop to start.,114
I am on self-isolation and I am a little anxious / stressed and not working enough.,1,1,0,1,1,0,0,1,0,"I am in self-isolation and feeling a little anxious and stressed, and not working enough.",115
I am really stressed out about the pandemic because I have asthma and my man has Copd,0,0,0,1,0,1,1,0,1,I am really stressed out about the pandemic because I have asthma and my partner has COPD.,116
i am starting to regret opening my business. i'm running out of money,1,1,0,0,0,0,0,1,0,I am starting to regret opening my business. I am running out of money.,117
I am stressed about meeting a deadline at work.,0,0,0,0,0,0,0,1,0,I am stressed about meeting a deadline at work.,118
i am stressed about money.,1,0,0,0,0,0,0,0,0,I am stressed about money.,119
i am stressed about my wife's death.,0,1,0,1,0,1,0,0,0,I am stressed about the death of my partner.,120
i am stressed about paying of my credit card after christmas,1,0,0,0,0,1,0,0,0,I am stressed about paying off my credit card after the holidays.,121
i am stressed about planning the thanksgiving meal,0,0,1,0,0,1,1,0,0,I am stressed about planning the holiday meal.,122
i am stressed about whether i should apply for a job or not,0,0,1,1,0,0,0,1,0,I am stressed about whether to apply for a job or not.,123
I am stressed due to the fact my job had to make pay cuts,1,0,0,1,0,0,1,1,0,I am stressed because my job had to implement pay cuts.,124
I am stressed out about not being able to work during COVID 19 outbreak.,1,1,0,0,0,0,1,1,0,I am stressed about not being able to work during the COVID-19 outbreak.,125
I am stressed out from being quarantined for the last 10 days.,1,1,0,1,0,0,1,0,1,I am stressed from being quarantined for the past several days.,126
i am stressed out over getting our old house all packed up.,0,1,1,1,0,1,1,0,0,I am stressed out over getting the old house all packed up.,127
i am stressed out over my current electric bill. i am not going to be able to pay it.,1,0,0,0,0,1,0,0,0,I am stressed out over my current electric bill. I am not going to be able to pay it.,128
I am stressed over the stay at home order from the governor.,1,1,1,1,0,0,1,0,1,I am stressed over the stay at home order from the local authority.,129
I am stressing about my brother and how he is doing. He hasn't been doing well.,0,0,0,0,0,1,0,0,1,I am stressing about my sibling and how they are doing. They haven't been doing well.,130
I AM STRESSING OUT ABOUT HOW TO HANDLE WORING AT HOME,0,0,1,0,0,0,1,1,0,I AM STRESSING OUT ABOUT HOW TO HANDLE WORKING AT HOME,131
i am stressing out because my performance review at work is coming up.,1,0,0,1,1,0,0,1,0,I am stressing out because my performance review at work is coming up.,132
I am super bugged by being trapped in the house during quarentine!,1,1,1,1,0,0,1,0,1,I am really frustrated by being stuck inside the house during quarantine!,133
i am trying my best and dont seem to be getting ahead.,1,1,1,0,0,0,1,1,0,I am trying my best and do not seem to be making progress.,134
I am unable to work because of the Covid 19. It is so stressful,1,0,0,0,0,0,0,1,0,I am unable to work because of Covid-19. It is very stressful.,135
i am undermined by my seniors,1,0,0,0,0,0,1,1,0,I am undermined by my superiors.,136
I am upset because I can't go to grad school this fall.,0,0,0,1,1,0,1,0,0,I am upset because I can't go to graduate school this fall.,137
"I am very concerned about the coronavirus, and my finances.",1,1,0,1,0,0,0,0,1,I am very concerned about the coronavirus and my finances.,138
i am very happy to your meeting that i am very happy,0,1,0,0,0,0,0,0,0,I am very happy about your meeting.,139
I am very stressed about being stuck in the house during COVID-19,0,0,0,1,0,1,1,0,1,I am very stressed about being stuck in the house during COVID-19.,140
I am very stressed right now thinking about the coronavirus.,0,1,1,1,0,0,0,0,1,I am very stressed right now thinking about the coronavirus.,141
I am worried about COVID-19.,0,0,1,1,0,0,0,0,1,I am worried about COVID-19.,142
I am worried about my health from corona virus.,0,0,0,0,1,0,1,0,1,I am worried about my health due to the coronavirus.,143
I am worried about my stepfather who is the primary income provider being laid off.,1,0,0,0,0,1,0,1,0,I am worried about my stepparent who is the primary income provider being laid off.,144
I am worried about the Coronavirus and how it will affect my family.,0,1,0,0,0,1,0,0,1,I am worried about the Coronavirus and how it will affect my family.,145
I been stressed out about work lately.,0,0,0,0,0,0,0,1,0,I have been stressed out about work lately.,146
I can not job and it is stressing me lately.,1,0,0,0,0,0,0,1,0,"I cannot find a job, and it has been stressing me lately.",147
i can't find a job in this pitiful area and need to leave here,1,0,0,0,0,0,1,1,0,I can't find a job in this area and need to leave.,148
i can't get my child to study.,0,0,1,0,1,1,0,0,0,I can't get my child to study.,149
I can't seem to find any toilet paper in stores.,0,1,1,0,0,1,0,0,1,I can't seem to find any toilet paper in stores.,150
I did terrible on an exam yesterday.,0,0,0,1,1,0,0,0,0,I did terrible on an exam yesterday.,151
i didn't have the income that i expected to have for my bills,1,0,0,0,0,1,0,0,0,I didn't have the income I expected to cover my bills.,152
"i do not like my job, my boss is lazy and i get blamed for everything.",0,0,0,1,0,0,1,1,0,"I do not like my job, my supervisor is lazy and I get blamed for everything.",153
i don't have insurance and i have a huge bill from the emergency room.,1,0,0,0,0,0,0,0,1,I do not have insurance and have a large bill from the emergency room.,154
i dont know how long to boil potatoes for,0,1,1,0,0,0,0,0,0,I don't know how long to boil potatoes for.,155
i dont know if i will have enough money for december rent.,1,0,0,0,0,0,0,0,0,I am unsure if I will have enough money for December rent.,156
i don't know where i should work,0,1,1,0,0,0,0,1,0,I don't know where I should work.,157
"i feel jealous of other girls, and worried my husband might be attracted to them.",0,0,0,1,0,1,1,0,0,I feel jealous of others and worried my partner might be attracted to them.,158
i feel like i have been just working all the time and no fun.,0,0,0,1,0,0,1,1,0,I feel like I have been working all the time and not having any fun.,159
I feel like my Manager is unfair,0,0,0,0,0,0,1,1,0,I feel like my manager is unfair.,160
i feel lonely,0,0,0,1,0,0,1,0,0,I feel lonely.,161
I feel stressed about losing income over COVID-19,1,0,0,0,0,0,0,0,0,I feel stressed about losing income due to COVID-19.,162
i feel very streesful in the situation.i can't  time manage.,1,1,1,0,0,0,0,1,0,I feel very stressed in the situation. I can't manage my time.,163
i found out a colleague is quitting.,0,1,0,1,0,0,1,1,0,I found out a coworker is quitting.,164
i got a new boss who is a jerk,0,0,0,0,0,0,1,1,0,I have a new supervisor who is unpleasant.,165
i had a mistake in implementing a new update to the system today morning,0,1,1,0,0,0,0,1,0,I made a mistake while implementing a new update to the system this morning.,166
i had a stress in deciding a meal. give me some suggestions.,0,1,1,0,0,0,0,1,0,I had stress deciding on a meal. Please give me some suggestions.,167
i had a very tiring day at work.,1,0,0,0,0,0,0,1,1,I had a very tiring day at work.,168
I had an assignment for I forgot about,0,0,0,0,1,0,0,1,0,I had an assignment that I forgot about.,169
i had to take my car into the shop and was expensive.,1,0,0,0,0,1,0,0,0,"I had to take my car into the shop, and it was expensive.",170
i have a bunch of tests this week and no time to study,0,1,0,1,1,0,0,0,0,I have a lot of tests this week and no time to study.,171
i have a deadline that's impossible to meet.,0,0,1,1,0,0,0,1,0,I have a deadline that is impossible to meet.,172
i have a deadline to meet and a whole lot of work to complete,0,0,0,0,1,0,1,1,0,I have a deadline to meet and a lot of work to complete.,173
I have a group presentation tomorrow,0,1,0,0,1,0,0,1,0,I have a group presentation tomorrow.,174
i have a lot of work to do at my job.,0,1,0,0,0,0,0,1,0,I have a lot of work to do at my job.,175
i have a lot that i need to do and not enough time.,0,1,1,0,0,0,0,0,0,I have a lot that needs to be done and not enough time.,176
i have a problem at work that's really stressing me out.,0,0,0,0,0,0,0,1,0,I have a problem at work that is really stressing me out.,177
i have all this work and no time to do anything idk what to do,0,0,1,0,0,0,0,1,0,I have all this work and no time to do anything. I don't know what to do.,178
i have an essay due this weekend,0,1,0,0,1,0,0,0,0,I have an essay due this weekend.,179
i have been applying to jobs for months and i still haven't been hired.,1,0,0,0,0,0,0,1,0,I have been applying to jobs for months and still have not been hired.,180
i have been feeling kind of lonely lately,0,0,0,1,0,0,1,0,0,I have been feeling kind of lonely lately.,181
I have been feeling stressed about the COVID-19 situation happening worldwide.,0,1,1,0,0,0,1,0,1,I have been feeling stressed about the COVID-19 situation happening globally.,182
"i have been feeling stressed with my caseload at work, on top of going to school.",0,1,0,0,1,0,0,1,0,"I have been feeling stressed with my caseload at work, on top of attending school.",183
i have been having a hard time dealing with a problem at work. can you give me advice,0,0,0,0,0,0,0,1,0,I have been having a hard time dealing with a problem at work. Can you give me advice?,184
i have been having money issues,1,0,0,0,0,0,0,0,0,I have been experiencing financial difficulties.,185
i have been home the whole time,1,1,0,1,0,1,0,0,0,I have been at home the whole time.,186
I have been losing games.,0,1,1,1,0,0,0,0,0,I have been losing games.,187
I have been most recently about finances and if everything will be ok or not.,1,0,0,0,0,0,0,0,0,I have been most recently concerned about finances and whether everything will be okay or not.,188
I have been really stressed about being separated from my boyfriend from Canada.,0,0,0,1,0,0,1,0,0,I have been really stressed about being separated from my partner from my country.,189
i have been sressing about not getting enough hits on turk,1,0,0,0,0,0,0,1,0,I have been stressing about not getting enough hits on Turk.,190
i have been stessing out about getting my strength back in my legs after finding out i h,0,1,0,1,0,0,0,0,1,I have been stressing out about regaining strength in my legs after finding out I have,191
I have been stressed about COVID-19!!,0,1,0,1,0,0,0,0,1,I have been stressed about COVID-19.,192
i have been stressed about finding a job given all of the recent events going on,1,0,0,1,0,0,0,1,0,I have been stressed about finding a job given all of the recent events happening.,193
i have been stressed about the move coming up.,1,1,1,1,0,0,0,0,1,I have been stressed about the upcoming move.,194
I have been stressed out about being at home and unable to work.,1,0,1,1,0,0,0,1,0,I have been stressed about being at home and unable to work.,195
i have been stressed out about finances and how to get everything paid,1,0,1,0,0,0,0,1,0,I have been stressed about finances and how to get everything paid.,196
I have been stressing about COVID-19,1,0,1,1,1,0,0,0,1,I have been stressing about COVID-19.,197
I have been stressing out about all the work I need to do for work next week.,0,0,1,1,0,0,0,1,0,I have been stressing out about all the work I need to do next week.,198
i have been stressing out about having to substitute teach,0,0,0,1,1,0,0,1,0,I have been stressing out about having to substitute teach.,199
i have been stressing out about work and my health.,0,0,0,0,0,0,0,1,1,I have been stressing out about work and my health.,200
i have been thinking a lot about what i should do when i graduate college.,0,1,0,1,1,0,0,1,0,I have been thinking a lot about what I should do after graduating from college.,201
i have been tired of dealing with frustrations within the family.,0,0,0,0,0,1,0,0,1,I have been tired of dealing with frustrations within the family.,202
i have been trying to apply for a loan but to no avail.,1,1,0,0,0,0,0,0,0,I have been trying to apply for a loan but have not been successful.,203
i have been wanting to find another job for some time now,0,0,0,0,0,0,0,1,0,I have been wanting to find another job for some time now.,204
i have been worried about all of my work projects that are due tomorrow.,0,0,0,1,1,0,0,1,0,I have been worried about all of my work projects that are due tomorrow.,205
i have been worried about my mom.,0,0,0,0,0,1,0,0,0,I have been worried about my parent.,206
i have exams next week but i have not studied enough.,0,0,1,0,1,0,0,0,0,I have exams next week but have not studied enough.,207
i have had some issues at work.,1,0,0,0,0,0,0,1,0,I have experienced some issues at work.,208
i have had some problems at work.,0,0,0,1,0,0,0,1,0,I have had some problems at work.,209
i have had to work extra lately.,0,0,0,0,0,0,0,1,0,I have had to work extra lately.,210
i have just had alot on my mind with work and finances,1,0,0,0,0,0,0,1,0,I have just had a lot on my mind with work and finances.,211
i have lot of work pressure & personal issues. need your advice & way to relax,0,1,0,1,0,0,0,1,1,I have a lot of work pressure and personal issues. I need advice and ways to relax.,212
"i have ma lot of work at my office, i need some time off",0,0,0,0,0,0,0,1,1,I have a lot of work at my office; I need some time off.,213
i have new sales goals at work that have been difficult to achieve,0,1,0,0,0,0,0,1,0,I have new sales goals at work that have been challenging to achieve.,214
I have no work and the bills are piling up,1,0,0,0,1,0,0,1,0,I have no work and the bills are accumulating.,215
i have one close friend . and i have fight with her. she did not talk to me . so i am ve,0,0,0,0,1,0,1,0,0,"I have one close friend, and I had a fight with them. They are not talking to me, so I am very upset.",216
i have several health issues that are causing me extreme stress.,0,0,0,1,0,0,0,0,1,I have several health issues that are causing me extreme stress.,217
i have so much to keep track of but can't stay organized.,0,1,1,1,0,0,0,1,0,I have so much to keep track of but can't stay organized.,218
i have some deadlines at work this friday,0,0,0,0,0,0,0,1,0,I have some deadlines at work this Friday.,219
i have to get work done on my car!,1,1,1,0,0,0,0,1,0,I need to get work done on my vehicle!,220
i have too many essays to write.,0,0,0,0,1,0,0,0,0,I have too many essays to write.,221
i have too much work load at work.,0,0,0,1,0,0,0,1,0,I have too much workload at work.,222
"i have very little money in my account, i can't make ends meet.",1,0,0,0,0,0,0,0,0,I have very little money in my account and cannot make ends meet.,223
i havent been able to make as much money as i need to pay rent.,1,0,0,0,0,0,0,1,0,I have not been able to make as much money as needed to pay rent.,224
i having a major problem at work with a co-worker who bully me often.,0,0,0,1,0,0,1,1,0,I am having a major problem at work with a co-worker who often bullies me.,225
i hear that there may be a storm coming and i work outside.,0,1,1,0,0,0,0,1,0,I hear that there may be a storm coming and I work outdoors.,226
I just am feeling very uncertain about the future,0,0,1,1,0,0,0,0,0,I am feeling very uncertain about the future.,227
I just can't think of what to cook right now,0,0,1,0,0,0,0,0,0,I just can't think of what to cook right now.,228
i just felt distressed due to the happenings in my work station.,0,0,0,1,0,0,0,1,0,I just felt distressed due to the happenings at my workplace.,229
i just got back from vacation and i have a lot of work to do.,1,0,1,0,0,0,1,1,0,I just got back from vacation and have a lot of work to do.,230
i just lost my job and am now doing job interviews.,1,0,0,0,0,0,0,1,0,I just lost my job and am now doing job interviews.,231
i just recenty lost my job,1,0,0,0,0,0,0,1,0,I recently lost my job.,232
"i lost my job three weeks ago, and am stressed about money.",1,0,0,0,0,0,0,1,0,I lost my job three weeks ago and am stressed about money.,233
i m stressing out over the holidays.,1,1,1,1,0,1,1,0,0,I am stressing out over the holidays.,234
"i made a big bet on the game tonight and lost, now i have to pay the bookie.",1,1,0,0,0,0,0,0,0,"I made a big bet on the game tonight and lost, now I have to pay the bookie.",235
i mean i'm going to get half my teeth ripped out on tuesday.,1,1,0,0,0,0,0,0,1,I mean I'm going to have half of my teeth removed on Tuesday.,236
i moved in with my boyfriend too quickly and i realize i don't really like him now.,0,0,0,1,0,0,1,0,0,I moved in with my partner too quickly and I realize I don't really like them now.,237
i need a better job so i'm stressing about bills.,1,0,0,0,0,1,0,1,0,"I need a better job, so I’m stressing about bills.",238
i need a break from this,1,1,1,1,0,0,1,0,0,I need a break from this.,239
I need a haircut and all the barbers are closed.,0,1,1,0,0,0,0,0,1,I need a haircut and all the barbershops are closed.,240
i need help and i need someone to talk to.,0,1,1,1,0,1,1,0,1,I need help and need someone to talk to.,241
i need someone to talk to or shall i say vent. call me asap,0,1,0,1,0,0,1,0,0,"I need someone to talk to or, shall I say, vent. Please call me as soon as possible.",242
"I recently bought a 5th wheel rv, not sure I should have.",1,1,1,0,0,0,0,0,0,"I recently bought a 5th wheel RV, not sure if it was the right choice.",243
i spend most of my workday fixing other employees mistakes.,1,0,0,0,0,0,1,1,0,I spend most of my workday fixing other employees' mistakes.,244
"I stress about work, family, and my weight.",0,0,0,1,0,1,0,1,1,"I stress about work, family, and my health.",245
